 Iteration 17800, loss = 3.46721
 Iteration 17900, loss = 3.55255
 Iteration 18000, loss = 5.2495
 Iteration 18100, loss = 3.6035
 Iteration 18200, loss = 4.66426
 Iteration 18300, loss = 3.49968
 Iteration 18400, loss = 4.09609
 Iteration 18500, loss = 3.12182
 Iteration 18600, loss = 3.81615
 Iteration 18700, loss = 3.24886
 Iteration 18800, loss = 3.5588
 Iteration 18900, loss = 2.73466
 Iteration 19000, loss = 3.58431
 Iteration 19100, loss = 2.79905
 Iteration 19200, loss = 3.87153
 Iteration 19300, loss = 3.127
 Iteration 19400, loss = 3.90335
 Iteration 19500, loss = 3.30511
 Iteration 19600, loss = 3.63805
 Iteration 19700, loss = 3.21521
 Iteration 19800, loss = 3.24093
 Iteration 19900, loss = 2.42361
 Iteration 20000, loss = 3.46788
 Iteration 20100, loss = 4.91166
 Iteration 20200, loss = 3.54875
 Iteration 20300, loss = 4.72129
 Iteration 20400, loss = 3.62835
 Iteration 20500, loss = 4.2447
 Iteration 20600, loss = 3.22764
 Iteration 20700, loss = 4.03521
 Iteration 20800, loss = 3.13955
 Iteration 20900, loss = 3.53393
 Iteration 21000, loss = 2.97576
 Iteration 21100, loss = 3.48235
 Iteration 21200, loss = 2.67114
 Iteration 21300, loss = 3.65244
 Iteration 21400, loss = 2.72504
 Iteration 21500, loss = 3.93746
 Iteration 21600, loss = 3.31596
 Iteration 21700, loss = 3.72018
 Iteration 21800, loss = 3.18208
 Iteration 21900, loss = 3.37244
 Iteration 22000, loss = 2.85393
 Iteration 22100, loss = 3.17417
 Iteration 22200, loss = 2.79136
 Iteration 22300, loss = 3.58156
 Iteration 22400, loss = 5.47815
 Iteration 22500, loss = 3.42097
 Iteration 22600, loss = 4.42573
 Iteration 22700, loss = 3.40303
 Iteration 22800, loss = 4.0689
 Iteration 22900, loss = 3.09579
 Iteration 23000, loss = 3.81876
 Iteration 23100, loss = 3.22647
 Iteration 23200, loss = 3.21459
 Iteration 23300, loss = 2.70177
 Iteration 23400, loss = 3.47088
 Iteration 23500, loss = 2.53225
 Iteration 23600, loss = 3.61498
 Iteration 23700, loss = 2.95433
